iter	Passed	Remaining
589	2029	1410
590	2032	1406
591	2035	1402
592	2038	1399
593	2042	1395
594	2045	1392
595	2048	1388
596	2051	1385
597	2055	1381
598	2059	1378
599	2062	1375
600	2065	1371
601	2069	1367
602	2072	1364
603	2075	1360
604	2078	1356
605	2081	1353
606	2084	1349
607	2087	1345
608	2089	1341
609	2092	1337
610	2095	1334
611	2098	1330
612	2101	1326
613	2104	1323
614	2107	1319
615	2110	1315
616	2113	1311
617	2116	1308
618	2119	1304
619	2122	1300
620	2124	1296
621	2127	1293
622	2131	1289
623	2133	1285
624	2136	1281
625	2139	1278
626	2142	1274
627	2145	1270
628	2148	1267
629	2151	1263
630	2153	1259
631	2156	1255
632	2159	1252
633	2162	1248
634	2165	1244
635	2168	1241
636	2171	1237
637	2174	1233
638	2176	1229
639	2179	1226
640	2182	1222
641	2185	1218
642	2188	1215
643	2191	1211
644	2194	1208
645	2198	1204
646	2200	1200
647	2203	1197
648	2206	1193
649	2209	1189
650	2212	1186
651	2215	1182
652	2218	1178
653	2221	1175
654	2224	1171
655	2227	1168
656	2230	1164
657	2233	1160
658	2236	1157
659	2238	1153
660	2241	1149
661	2244	1146
662	2247	1142
663	2250	1138
664	2252	1134
665	2255	1131
666	2258	1127
667	2261	1123
668	2264	1120
669	2267	1116
670	2270	1113
671	2273	1109
672	2276	1105
673	2278	1102
674	2281	1098
675	2284	1095
676	2287	1091
677	2291	1088
678	2293	1084
679	2296	1080
680	2299	1077
681	2303	1074
682	2306	1070
683	2310	1067
684	2312	1063
685	2316	1060
686	2319	1056
687	2323	1053
688	2326	1050
689	2329	1046
690	2332	1043
691	2336	1039
692	2339	1036
693	2343	1033
694	2346	1029
695	2349	1026
696	2353	1023
697	2356	1019
698	2359	1016
699	2363	1012
700	2366	1009
701	2369	1005
702	2372	1002
703	2375	998
704	2379	995
705	2382	992
706	2386	988
707	2389	985
708	2392	982
709	2396	978
710	2399	975
711	2402	971
712	2405	968
713	2408	964
714	2411	961
715	2414	957
716	2417	954
717	2421	951
718	2424	947
719	2427	944
720	2431	940
721	2434	937
722	2438	934
723	2441	930
724	2444	927
725	2447	923
726	2450	920
727	2453	916
728	2456	913
729	2459	909
730	2462	906
731	2466	902
732	2469	899
733	2472	896
734	2475	892
735	2478	888
736	2481	885
737	2483	881
738	2486	878
739	2489	874
740	2492	871
741	2495	867
742	2499	864
743	2502	861
744	2506	857
745	2513	855
746	2518	852
747	2521	849
748	2524	846
749	2527	842
750	2530	838
751	2533	835
752	2536	832
753	2539	828
754	2542	824
755	2545	821
756	2547	817
757	2550	814
758	2553	810
759	2556	807
760	2559	803
761	2562	800
762	2565	796
763	2568	793
764	2571	789
765	2574	786
766	2577	782
767	2580	779
768	2582	775
769	2585	772
770	2588	768
771	2591	765
772	2594	761
773	2597	758
774	2600	755
775	2603	751
776	2606	747
777	2609	744
778	2612	741
779	2615	737
780	2617	734
781	2620	730
782	2624	727
783	2626	723
784	2629	720
785	2632	716
786	2635	713
787	2638	709
788	2641	706
789	2644	702
790	2647	699
791	2650	696
792	2653	692
793	2656	689
794	2660	685
795	2663	682
796	2666	679
797	2669	675
798	2672	672
799	2675	668
800	2678	665
801	2681	662
802	2685	658
803	2688	655
804	2691	652
805	2694	648
806	2698	645
807	2700	641
808	2703	638
809	2706	634
810	2709	631
811	2712	628
812	2715	624
813	2718	621
814	2721	617
815	2724	614
816	2727	610
817	2730	607
818	2732	603
819	2736	600
820	2738	597
821	2741	593
822	2744	590
823	2747	586
824	2750	583
825	2753	579
826	2755	576
827	2758	573
828	2761	569
829	2764	566
830	2767	562
831	2770	559
832	2772	555
833	2775	552
834	2778	549
835	2781	545
836	2784	542
837	2787	538
838	2790	535
839	2793	532
840	2796	528
841	2799	525
842	2802	522
843	2806	518
844	2809	515
845	2813	512
846	2816	508
847	2819	505
848	2823	502
849	2826	498
850	2829	495
851	2833	492
852	2836	488
853	2839	485
854	2842	482
855	2845	478
856	2848	475
857	2851	471
858	2854	468
859	2858	465
860	2861	461
861	2864	458
862	2867	455
863	2870	451
864	2873	448
865	2875	445
866	2878	441
867	2881	438
868	2884	434
869	2887	431
870	2890	428
871	2893	424
872	2897	421
873	2899	418
874	2902	414
875	2905	411
876	2909	407
877	2912	404
878	2914	401
879	2917	397
880	2920	394
881	2923	391
882	2927	387
883	2930	384
884	2933	381
885	2936	377
886	2939	374
887	2942	371
888	2945	367
889	2948	364
890	2951	361
891	2954	357
892	2957	354
893	2960	351
894	2963	347
895	2966	344
896	2969	341
897	2972	337
898	2976	334
899	2979	331
900	2981	327
901	2985	324
902	2987	320
903	2991	317
904	2994	314
905	2997	311
906	3000	307
907	3003	304
908	3007	301
909	3009	297
910	3012	294
911	3016	291
912	3019	287
913	3022	284
914	3025	281
915	3028	277
916	3031	274
917	3035	271
918	3038	267
919	3041	264
920	3044	261
921	3047	257
922	3049	254
923	3052	251
924	3056	247
925	3059	244
926	3062	241
927	3065	237
928	3069	234
929	3072	231
930	3075	227
931	3078	224
932	3081	221
933	3084	217
934	3086	214
935	3089	211
936	3092	207
937	3095	204
938	3098	201
939	3101	197
940	3104	194
941	3106	191
942	3109	187
943	3112	184
944	3115	181
945	3118	178
946	3121	174
947	3124	171
948	3127	168
949	3129	164
950	3132	161
951	3135	158
952	3138	154
953	3141	151
954	3144	148
955	3147	144
956	3150	141
957	3153	138
958	3156	134
959	3159	131
960	3162	128
961	3165	125
962	3168	121
963	3171	118
964	3174	115
965	3177	111
966	3180	108
967	3183	105
968	3186	101
969	3189	98
970	3192	95
971	3195	92
972	3198	88
973	3200	85
974	3204	82
975	3207	78
976	3210	75
977	3213	72
978	3216	68
979	3219	65
980	3222	62
981	3225	59
982	3228	55
983	3231	52
984	3234	49
985	3237	45
986	3240	42
987	3243	39
988	3246	36
989	3250	32
990	3253	29
991	3256	26
992	3259	22
993	3262	19
994	3265	16
995	3268	13
996	3271	9
997	3274	6
998	3277	3
999	3280	0
